Time,F-Scale,Location,County,State,Lat,Lon,Comments
1512,UNK,SIBLEY,JACKSON,MO,39.18,-94.2,BRIEF TOUCHDOWN NEAR SIBLEY WITH DAMAGE TO TREES AND POWER LINES (EAX)
1544,UNK,NORBORNE,CARROLL,MO,39.3,-93.68,DELAYED REPORT DAMAGE FROM NORBORNE TO JUST W OF CARROLLTON. NUMEROUS TREES UPROOTED AND TRAILER DESTROYED W OF CARROLLTON. (EAX)
1550,UNK,HARTVILLE,WRIGHT,MO,37.25,-92.51,A MOBILE HOME WAS DAMAGED NEAR CASS ROAD. (SGF)
1600,UNK,3 N WAKENDA,CARROLL,MO,39.36,-93.38,DELAYED REPORT. POWER POLES DOWN ALONG HIGHWAY 24. (EAX)
1646,UNK,2 NW HUNTSVILLE,RANDOLPH,MO,39.45,-92.58,HIGHWAY PATROL REPORTED A TORNADO NEAR HWY O & C (EAX)
1647,UNK,CARROLLTON,CARROLL,MO,39.37,-93.5,CONFIRMED TORNADO. NUMEROUS HOUSES WITH ROOF DAMAGE. WIDESPREAD POWER OUTAGES. (EAX)
1650,UNK,5 NE MOBERLY,RANDOLPH,MO,39.47,-92.37,(EAX)
1656,UNK,2 NW HUNTSVILLE,RANDOLPH,MO,39.45,-92.58,HIGHWAY PATROL REPORTED A TORNADO NEAR HWY O & C (EAX)
1700,UNK,HOLLIDAY,MONROE,MO,39.49,-92.13,TORNADO REPORTED ON THE GROUND BETWEEN HIGHWAY 24 AND ROUTE J. (LSX)
1725,UNK,3 WSW RENSSELAER,RALLS,MO,39.65,-91.6,TOUCHED DOWN IN OPEN FIELD AND DAMAGED ONE FARM OUTBUILDING. (LSX)
2115,UNK,MARIONVILLE,LAWRENCE,MO,37,-93.64,*** 1 FATAL *** BROADCAST MEDIA JUST REPORTED THAT A 63 YEAR OLD MAN WAS KILLED BY A TORNADO NEAR MARIONVILLE. (SGF)
2150,UNK,2 E CALHOUN,HENRY,MO,38.47,-93.59,DEBRIS CLOUD REPORTED (EAX)
2150,UNK,LA MONTE,PETTIS,MO,38.78,-93.43,UNCONFIRMED REPORT AT 127 & CARROL ROAD (EAX)
2158,UNK,IONIA,BENTON,MO,38.5,-93.32,REPORTS OF DAMAGE TO HOMES WEST OF IONIA NEAR HIGHWAY P (SGF)
2158,UNK,4 W BRANDON,BENTON,MO,38.51,-93.5,A SUPERCELL THUNDERSTORM SPAWNED A TORNADO THAT CLIPPED THE FAR NORTHWESTERN PORTION OF BENTON COUNTY. DAMAGE WAS REPORTED 5 MILES WEST OF IONIA INCLUDING UPROOTED TREE (SGF)
2205,UNK,5 W IONIA,BENTON,MO,38.5,-93.42,A SUPERCELL THUNDERSTORM SPAWNED A TORNADO THAT CLIPPED THE FAR NORTHWESTERN PORTION OF BENTON COUNTY. DAMAGE WAS REPORTED 5 MILES WEST OF IONIA INCLUDING UPROOTED TREE (SGF)
2205,UNK,3 S GREEN RIDGE,PETTIS,MO,38.58,-93.4,BARN DAMAGED AND TREE DAMGE REPORTED. (EAX)
2210,UNK,1 W NELSON,SALINE,MO,38.98,-93.07,(EAX)
2230,UNK,OTTERVILLE,COOPER,MO,38.72,-93,TORNADO REPORTED JUST SOUTH OF OTTERVILLE (EAX)
2237,UNK,6 SW FAYETTE,HOWARD,MO,39.09,-92.78,TORNADO REPORTED ON THE GROUND (EAX)
2330,UNK,5 NE MEXICO,AUDRAIN,MO,39.22,-91.8,LARGE TREES UPROOTED. (LSX)
2330,UNK,6 NNW MEXICO,AUDRAIN,MO,39.25,-91.91,TORNADO ON THE GROUND AT HIGHWAYS 15 AND T. (LSX)
0010,UNK,WELLSVILLE,MONTGOMERY,MO,39.07,-91.57,LOOKING TO THE NORTH...POSSIBLE BRIEF TOUCHDOWNS. NO DAMAGE REPORTED. (LSX)
0030,UNK,ASHLEY,PIKE,MO,39.25,-91.22,ALONG HIGHWAY 161...GRAIN SILOS DAMAGED...MACHINE SHED DAMAGED...TREES AND POWER LINES DOWN. (LSX)
0120,UNK,HILLVIEW,GREENE,IL,39.45,-90.54,SEVERAL BUILDINGS DAMAGED...TREES AND POWER LINES DOWN. (LSX)
0125,UNK,2 W BARROW,GREENE,IL,39.51,-90.44,TORNADO REPORTED ON THE GROUND ON HIGHWAY 106. (LSX)
0129,UNK,3 SE ALSEY,SCOTT,IL,39.53,-90.38,ENTERED COUNTY FROM GREENE COUNTY. PATH LENGTH 44 MILES,LIFTING IN SPRINGFIELD. (ILX)
0145,UNK,MURRAYVILLE,MORGAN,IL,39.58,-90.25,*** 1 INJ *** CONTINUATION OF TORNADO. DAMAGE TO BUILDINGS AND TREES. 1 TRAILER DAMAGED...NO POWER IN TOWN...AN A 4 INCH GAS PIPE BROKE IN A GRAIN ELEVATOR BUT IS CAPPE (ILX)
0151,UNK,2 N WARRENSBURG,JOHNSON,MO,38.8,-93.75,(EAX)
0152,UNK,BUTLER,BATES,MO,38.25,-94.33,TORNADO REPORTED ON THE GROUND ON ORANGE ST. (EAX)
0158,UNK,FRANKLIN,MORGAN,IL,39.62,-90.05,PATH LENGTH 11.5 MILES,LIFTED 2 MILES NNE OF LOAMI. POWER POLES SNAPPED,FARM BUILDINGS DAMAGED,AND TREES DAMAGED ALONG THE PATH. (ILX)
0201,UNK,BUTLER MEM ARPT,BATES,MO,38.28,-94.33,(EAX)
0201,UNK,3 N KNOB NOSTER,JOHNSON,MO,38.81,-93.57,APPROXIMATELY 1/2 MILE WIDE (EAX)
0206,UNK,5 N KNOB NOSTER,JOHNSON,MO,38.84,-93.57,TORNADO ON THE GROUND WITH DEBRIS (EAX)
0210,UNK,LOAMI,SANGAMON,IL,39.67,-89.85,TORNADO LOCATED ONE HALF MILE NORTH OF LOAMI ON LOAMI ROAD. (ILX)
