,,,,,,,,,,
"LEMA936.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,
"Table 6a.  Applicant and employee drug testing policies of local law enforcement agencies, 1993",,,,,,,,,,
,,,,,,,,,"  Specified sanctions for",
,,,"                  Types of drug testing programs for:",,,,,,"  nonprobationary officer",
,,"  Applicants",,"  Sworn","  Officers in","    Regular",,,"  with positive drug test",
,,"  for sworn"," Probationary","  promotional","  drug-related","    field"," Civilian",,"     First","Second"
"County","Name of agency","  positions"," officers","  candidates","  positions","    officers"," employees",,"offense","offense"
,,,,,,,,,,
"ALABAMA",,,,,,,,,,
,,,,,,,,,,
"Etowah","Gadsden Police","M","R,U","M","R,U","R,U","-",,"C","D"
"Houston","Dothan Police","M","R,U","R,U","R,U","R,U","U",,"C,S","D"
"Jefferson","Jefferson County Sheriff","M","U","-","R,U","R,U","U",,"D","-"
"Jefferson","Birmingham Police","M","R,U","R,U","R,U","R,U","R,U",,"C","D"
"Madison","Huntsville Police","M","U","U","U","U","U",,"C,D,S,T,W","-"
"Mobile","Mobile County Sheriff","M","R","R","R","R","R",,"D","-"
"Mobile","Mobile Police","M,U","M,U","M","M,U","U","M,U",,"C,D,S","-"
"Montgomery","Montgomery County Sheriff","M","M","M","M","M","-",,"D","-"
"Montgomery","Montgomery Police","M","R,U","R,U","R,U","R,U","M,R,U",,"C,S,T","D"
"Tuscaloosa","Tuscaloosa Police","M","R,U","R,U","R,U","R,U","U",,"D","-"
,,,,,,,,,,
"ALASKA",,,,,,,,,,
,,,,,,,,,,
"Anchorage","Anchorage Police","-","-","-","-","-","-",,"-","-"
,,,,,,,,,,
"ARIZONA",,,,,,,,,,
,,,,,,,,,,
"Maricopa","Maricopa County Sheriff","-","U","U","U","U","U",,"D","-"
"Maricopa","Chandler Police","M","M","-","M","R","U",,"-","-"
"Maricopa","Glendale Police","-","-","-","M","-","M",,"C,D","-"
"Maricopa","Mesa Police","M","R","-","R","R","R",,"-","-"
"Maricopa","Phoenix Police","M,R,U","R,U","R,U","R,U","R,U","-",,"C,D,S,T,W","C,D,S,T,W"
"Maricopa","Scottsdale Police","M","U,O","M","U,O","U,O","U,O",,"-","-"
"Maricopa","Tempe Police","M","U","U","M,R,U","U","U",,"D","-"
"Pima","Pima County Sheriff","M","M","-","U","R,U","R,U",,"C,D,S,T,W","C,D,S,T,W"
"Pima","Tucson Police","M","R","U","U","U","U",,"C,D,S,T,W","D,S,T"
"Pinal","Pinal County Sheriff","M","U","U","U","U","U",,"D","-"
,,,,,,,,,,
"ARKANSAS",,,,,,,,,,
,,,,,,,,,,
"Jefferson","Pine Bluff Police","M","U","U","U","U","-",,"-","-"
"Pulaski","Pulaski County Sheriff","-","-","-","-","-","-",,"-","-"
