 
"Organization Name - Effective 27-AUG-06","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","1R21AA014247-01A2","6926600","Parsian, Abbas ","QTL Mapping in Inbred FH Rat Strain for Alcohol Intake","","","","$ 122,813","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","1U10HD050009-01","6939079","Anand, Kanwaljeet S","PCCM Network: Remedies for Opioid Tolerance & Withdrawal","","","","$ 125,000","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","2R01AA012223-05A3","6987056","Lumpkin, Charles K","ETHANOL AND OSTEOBLASTOGENESIS: ROLES OF IL-1 AND TNF","","","","$ 276,000","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","2R01DK055653-06A2","6985097","Fowlkes, John L","THE PHYSIOLOGY OF IGFBP DEGRADING PROTEINASES IN BONE","","","","$ 262,200","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5K23HL004475-04","6936465","Morris, Mohy G","Forced expiration and lung volume in infant lung disease","","","","$ 155,250","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R01AA008645-15","6922127","Badger, Thomas M","Alcohol: Direct and Indirect Effects in Drug Metabolism","","","","$ 327,500","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R01AA012819-05","6865819","Ronis, Martin Jj","ETHANOL METABOLISM IN PREGNANCY--ROLE OF DIET","","","","$ 256,000","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R01AA012928-04","6891687","Ronis, Martin Jj","ETHANOL EFFECTS ON BONE FORMATION IN PREGNANCY","","","","$ 290,250","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R01DK062999-04","6893319","Thrailkill, Kathryn M","Matrix metalloproteinases and diabetic nephropathy","","","","$ 322,500","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R01HD021961-17","6860123","Simmen, Rosalia C","Uteroferrin gene expression during development","","","","$ 293,612","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5R03DK067999-02","6922792","James, Laura P","Evaluation of a Biomarker for Acetaminophen Toxicity","","","","$ 131,000","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"ARKANSAS CHILDREN'S HOSPITAL RES INST","5U10HD031324-12","6853581","Wells, Thomas G","Pediatric Pharmacology Research Unit Network","","","","$ 369,837","LITTLE ROCK","ARKANSAS","72202","","","","Research Institutes","N","","  "
"BIODETECTION INSTRUMENTS, LLC","2R44RR018420-02","6994886","Su, Xiaoli ","High-performance Food Pathogen Detection Instrument","","","","$ 379,451","FAYETTEVILLE","ARKANSAS","72701","","","","None","N","","  "
"BIOTECHNICAL SERVICES, INC.","N01ES005453","","Gunnels, Susan","NTP TECHNICAL REPORTS PREPARATION SERVICES","","","","$ 995,299","NORTH LITTLE ROCK","ARKANSAS","72116","","","","None","N","","  "
"BLUEINGREEN, LLC","1R41ES014137-01","6994542","Thompson, Clay ","Point Source Ozonation to Minimize Antibiotic Resistance","","","","$ 100,000","FAYETTEVILLE","ARKANSAS","72701","","","","None","N","","  "
"CHLAMYDIA BASIC RESEARCH SOCIETY","7R13AI063796-02","7061915","Rank, Roger G","Biennial Meeting of Chlamydia Basic Research Society","","","","$ 15,000","LITTLE ROCK","ARKANSAS","72205-7199","","","","None","N","","  "
"DCV TECHNOLOGIES, INC.","1R41CA108257-01A1","6882806","Cannon, Martin J","Dendritic cell immunotherapy for ovarian cancer","","","","$ 66,786","LITTLE ROCK","ARKANSAS","72205-7199","","","","None","N","","  "
"GREEN TECHNOLOGIES, INC.","1R43HD044271-01A3","6932129","Green, Steve C","A Manual Standup Wheelchair","","","","$ 98,500","WEST FORK","ARKANSAS","72774-9377","","","","None","N","","  "
"GREEN TECHNOLOGIES, INC.","2R44HD043516-02","6931779","Green, Steve C","A Modal Reciprocating Pushrim Drive Wheelchair","","","","$ 360,860","WEST FORK","ARKANSAS","72774-9377","","","","None","N","","  "
"INTERVEXION THERAPEUTICS, LLC","5R42DA017596-02","6947797","Holtz, R Barry","Development of Plant Derived Antibodies for Drugs Abuse","","","","$ 376,091","LITTLE ROCK","ARKANSAS","72205-7199","","","","Research Institutes","N","","  "
"INVOTEK, INC.","1R43HD051067-01","6990370","Jakobs, Thomas ","Practical Eye Tracking for Accessing Assistive Devices","","","","$ 100,000","ALMA","ARKANSAS","72921","","","","None","N","","  "
"JAECO ORTHOPEDIC, INC.","1R43AR052558-01","6934304","Conry, Mark A","Functional Arm Orthosis","","","","$ 100,000","HOT SPRINGS","ARKANSAS","71901","","","","None","N","","  "
"MINOTAUR TECHNOLOGIES, LLC","1R41NS052023-01","6935576","Guzun, Dorel ","Laser Tweezer Based Instrument for Cell Biology Research","","","","$ 150,000","FAYETTEVILLE","ARKANSAS","72701","","","","None","N","","  "
"NANOMATERIALS AND NANOFABRICATION LABS","1R43EB005072-01","6933620","Liu, Yongcheng ","Colloidal Quantum Dot/Well Near-Infrared NanoLabels","","","","$ 196,997","FAYETTEVILLE","ARKANSAS","72702","","","","None","N","","  "
