     -987
  "27",          -4555
  "28",           -206
    "",             ""
  "29",          -9344
  "30",          -9088
  "31",           -911
  "32",          -6214
  "33",          -1963
  "34",           -256
    "",             ""
  "35",           -724
    "",             ""
  "36",              0
  "37",           -499
  "38",           -225
    "",             ""
    "",             ""
    "",             ""
    "",             ""
    "",             ""
  "39",            10
