 
.35-39 years,540 ,367 ,17 ,24 ,5 ,76 ,4 ,32 ,2 ,12 
.40-44 years,615 ,449 ,16 ,18 ,- ,78 ,3 ,37 ,- ,15 
.45-54 years,"1,067 ",652 ,40 ,39 ,9 ,156 ,14 ,94 ,4 ,57 
.55-64 years,649 ,236 ,6 ,10 ,2 ,113 ,7 ,137 ,10 ,129 
.65-74 years,408 ,32 ,3 ,- ,- ,36 ,1 ,76 ,- ,260 
.75+ years,178 ,8 ,- ,- ,- ,10 ,1 ,15 ,- ,144 
FAMILY INCOME,,,,,,,,,,
".Family Income Under $10,000",160 ,25 ,3 ,1 ,3 ,26 ,3 ,6 ,4 ,88 
".$10,000 to $14,999",166 ,21 ,4 ,5 ,2 ,33 ,4 ,11 ,2 ,86 
".$15,000 to $19,999",234 ,20 ,5 ,5 ,4 ,62 ,1 ,3
