cal protein
SMT1492,NULL,1499099,1498590,sensor histidine kinase VncS
SMT1493,NULL,1499722,1499096,DNA-binding response regulator
SMT1494,NULL,1501274,1499895,transmembrane protein Vexp3
SMT1495,NULL,1501977,1501330,ABC transporter, putative
SMT1496,NULL,1503162,1501990,transmembrane protein Vexp1
SMT1497,NULL,1503340,1503131,conserved hypothetical protein
SMT1498,NULL,1504550,1503480,ferrochelatase
SMT1499,NULL,1504646,1504747,hypothetical protein
SMT1500,NULL,1504734,1505927,peptidase T
SMT1501,NULL,15093
