ircraft Fuel,,0,0,0,0,"1,428","1,428",46
,,Other,,"3,113",0,826,63,"1,299","5,301",171
,Kerosene,,,302,0,0,0,0,302,10
,Distillate Fuel Oil,,,"12,875",248,0,257,117,"13,497",435
,,15 ppm sulfur and under,,0,0,0,0,108,108,3
,,,Bonded,0,0,0,0,25,25,1
,,,Other,0,0,0,0,83,83,3
,,Greater than 15 ppm to 500 ppm sulfur,,"4,805",211,0,233,8,"5,257",170
,,,Bonded,29,0,0,0,0,29,1
,,,Other,"4,776",211,0,233,8,"5,228",169
,,Greater than 500 ppm to 2000 ppm sulfur,,"5,070",0,0,24,0,"5,094",164
,,,Bonded,0,0,0,
