1002",9.0,"Two or more races","N","N","N","N","N","N","N","N",,,,
"S1002",9.3,,,,,,,,,,,,,
"S1002",10.0,"Hispanic or Latino origin (of any race)","N","N","N","N","N","N","N","N",,,,
"S1002",11.0,"White alone, not Hispanic or Latino","N","N","N","N","N","N","N","N",,,,
"S1002",11.3,,,,,,,,,,,,,
"S1002",11.5,"SEX",,,,,,,,,,,,
"S1002",12.0,"Male","43.8","+/-7.9","40.3","+/-9.9","N","N","N","N",,,,
"S1002",13.0,"Female","56.2","+/-7.9","59.7","+/-9.9","N","N","N","N",,,,
"S1002",13.3,,,,,,,,,,,,,
"S1002",13.5,"
