7","+/-885","100","(X)"
"DP02",72.0,"With a disability","3,778","+/-948","6.9","+/-1.7"
"DP02",72.3,,,,,
"DP02",73.0,"Population 16 to 64 years","249,856","+/-967","100","(X)"
"DP02",74.0,"With a disability","22,450","+/-1,998","9.0","+/-0.8"
"DP02",74.3,,,,,
"DP02",75.0,"Population 65 years and over","42,577","+/-421","100","(X)"
"DP02",76.0,"With a disability","14,664","+/-1,288","34.4","+/-2.9"
"DP02",76.3,,,,,
"DP02",76.5,"RESIDENCE 1 YEAR AGO",,,,
"DP02",77.0,"Population 1 year and over","375,729","+/-
