,0,0,0,0,0,0,0
,,,RBOB for Blending with Alcohol,"7,216",0,0,0,0,"7,216",258
,,Conventional,,"7,563",7,405,0,"1,275","9,250",330
,,,CBOB for Blending with Alcohol,0,0,0,0,100,100,4
,,,GTAB,710,0,0,0,0,710,25
,,,Other,"6,853",7,405,0,"1,175","8,440",301
,Aviation Gasoline Blending Components,,,0,0,0,0,0,0,0
Finished Petroleum Products,,,,"24,244",568,"10,379",352,"8,273","43,816","1,565"
,Finished Motor Gasoline,,,"7,626",40,"1,177",2,"1,575","10,420",372
,,Reformulated,,0,0,0,0,0,0,0
,,,Reformulat
