%","44.9%",
"DP02",55.0,"High school (grades 9-12)","27.0%","27.4%",
"DP02",56.0,"College or graduate school","17.7%","16.7%",
"DP02",56.3,,,,
"DP02",56.5,"EDUCATIONAL ATTAINMENT",,,
"DP02",57.0,"Population 25 years and over","1,002,721","1,019,456","*"
"DP02",58.0,"Less than 9th grade","5.8%","5.9%",
"DP02",59.0,"9th to 12th grade, no diploma","8.7%","8.5%",
"DP02",60.0,"High school graduate (includes equivalency)","35.2%","35.2%",
"DP02",61.0,"Some college, no degree","22.8%","22.6%",
"DP02",62.0,"Associa
