"+/-0.1",,,,,,,,,,
"S2506",58.0,"30 percent or more","7.8","+/-0.1",,,,,,,,,,
"S2506",59.0,"$75,000 or more","48.4","+/-0.2",,,,,,,,,,
"S2506",60.0,"Less than 20 percent","28.1","+/-0.2",,,,,,,,,,
"S2506",61.0,"20 to 29 percent","15.2","+/-0.2",,,,,,,,,,
"S2506",62.0,"30 percent or more","5.1","+/-0.1",,,,,,,,,,
"S2506",63.0,"Zero or negative income","0.3","+/-0.1",,,,,,,,,,
"S2506",63.3,,,,,,,,,,,,,
"S2506",63.5,"REAL ESTATE TAXES",,,,,,,,,,,,
"S2506",64.0,"Less than $800","8.1","+/-0.1",,,,,,,,,,
"S2506",
