pouse present,3,-,3,-,-,-,-,-,-,-
..Other family householder,50,4,45,1,0,-,-,-,-,-
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,2,-,1,2,-,-,-,-,-,-
..Living with nonrelatives,1,-,1,-,-,-,-,-,-,-
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,8,1,4,2,-,-,-,-,-,-
..Other,"3,757",604,"3,090",36,23,1,3,-,-,-
.NONRELATIVE,,,,,,,,,,
..Nonrelative,115,30,84,1,-,-,-,-,-,-
18 years and over,,,,,,,,,,
.Total,"78,179","2,376","5,769","25,921","15,907","7,338","14,245","5,274",732,617
.FAMILY HOUSEHOLDER,,,
