"
"S0201","220","17.7","+/-0.3","13.5","+/-1.5"
"S0201","221","17,049","+/-480","15,050","+/-1,758"
"S0201","222","10.5","+/-0.3","14.3","+/-1.7"
,"222",,,,
"S0201","223","927,086","+/-9,513","57,658","+/-2,623"
"S0201","224","47,955","+/-776","38,995","+/-2,611"
"S0201","225","75.4","+/-0.7","66.6","+/-2.9"
"S0201","226","56,688","+/-818","49,542","+/-2,961"
"S0201","227","6.8","+/-0.4","8.6","+/-1.6"
"S0201","228","34,027","+/-2,116","21,730","+/-3,148"
"S0201","229","17.7","+/-0.6","24.8","+/-2.4"
"S0201
