yed,Not Employed
MARRIED COUPLE FAMILY GROUPS,,"4,273","2,252",106,95,13,707,41,418,31,610
REGION,Northeast,678,322,21,26,3,146,5,63,1,91
,Midwest,704,368,21,18,1,102,11,58,10,114
,South,"2,475","1,340",61,45,6,388,14,246,19,356
,West,416,222,3,7,2,71,11,52,2,48
SIZE OF FAMILY GROUP,Two members,"1,498",627,27,22,2,225,15,175,14,391
,Three members,"1,020",596,27,27,2,153,9,76,7,123
,Four members,990,618,26,24,5,175,6,83,4,50
,Five members,456,246,18,16,4,85,9,49,3,27
,Six or more members,309,166,8,
