240966,T23_PL6,,200322
240968,T25_PL6,,200323
240984,T07_PL2,,200324
240986,T11_PL2,,200325
240988,T12_PL2,,200326
240990,T13_PL2,,200327
240992,T14_PL2,,200328
240994,T16_PL2,,200329
240996,T17_PL2,,200330
240998,T20_PL2,,200331
241000,T21_PL2,,200332
241002,T23_PL2,,200333
241004,T28_PL2,,200334
241006,T29_PL2,,200335
241008,T30_PL2,,200336
241010,T34_PL2,,200337
241012,T42_PL2,,200338
241014,S10_PL2,,200339
241016,S13_PL2,,200340
241018,S30_PL2,,200341
241020,S31_PL2,,200342
241022,S
