","42.6","+/-0.5","50.4","+/-1.4"
"S0201","174","15.2","+/-0.4","9.9","+/-1.0"
"S0201","175","25.0","+/-0.4","25.2","+/-1.4"
"S0201","176","0.2","+/-0.1","0.3","+/-0.1"
"S0201","177","8.9","+/-0.2","8.4","+/-0.9"
"S0201","178","8.1","+/-0.3","5.8","+/-0.7"
,"178",,,,
"S0201","179","1,468,555","+/-9,159","141,699","+/-5,833"
"S0201","180","40.4","+/-0.6","48.1","+/-2.2"
"S0201","181","12.8","+/-0.5","9.0","+/-1.2"
"S0201","182","17.0","+/-0.6","17.6","+/-1.5"
"S0201","183","0.3","+/-0.1","0.5","+/-0.2"
"S020
