ophosphorylase
SMT0552,NULL,516447,516992,MutT/nudix family protein
SMT0553,NULL,517004,517315,conserved hypothetical protein
SMT0554,NULL,517332,518024,MTA/SAH nucleosidase
SMT0555,NULL,518113,518592,Protein of unknown function, DUF536 family
SMT0556,NULL,518833,519129,exonuclease
SMT0557,NULL,519174,519317,DNA-binding protein HU
SMT0558,NULL,519575,520207,cytochrome c biogenesis protein (ccdA)
SMT0559,NULL,520238,520876,amino acid permease family protein SP1001
SMT0560,NULL,520897,521247,lipoprotein
SMT05
