0,0,0,0,0,0
,,Ethylene,,0,10,0,0,0,10,0
,,Propane,,"1,642","2,349",0,476,83,"4,550",163
,,Propylene,,174,340,0,0,0,514,18
,,Normal Butane,,286,107,450,21,42,906,32
,,Butylene,,0,11,0,0,0,11,0
,,Isobutane,,0,108,182,0,0,290,10
,,Isobutylene,,0,0,0,0,0,0,0
Other Liquids,,,,"21,868",8,"11,894",0,"3,168","36,938","1,319"
,Other Hydrocarbons/Oxygenates,,,860,1,3,0,171,"1,035",37
,,Other Hydrocarbons/Hydrogen,,0,0,3,0,93,96,3
,,Oxygenates,,860,1,0,0,78,939,34
,, ,Fuel Ethanol,860,1,0,0,78,939,34
,,,M
