"
"B23002I",48.000,"Not in labor force","N","N","N","N"
"B23002I",49.000,"20 to 24 years:","N","N","N","N"
"B23002I",50.000,"In labor force:","N","N","N","N"
"B23002I",51.000,"In Armed Forces","N","N","N","N"
"B23002I",52.000,"Civilian:","N","N","N","N"
"B23002I",53.000,"Employed","N","N","N","N"
"B23002I",54.000,"Unemployed","N","N","N","N"
"B23002I",55.000,"Not in labor force","N","N","N","N"
"B23002I",56.000,"25 to 54 years:","N","N","N","N"
"B23002I",57.000,"In labor force:","N","N","N","N"
"B23002I",58
