,,,,
.Total,"17,350",179,"2,797","5,064","6,680",847,"1,715",62,2,4
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,898,16,101,333,230,80,129,6,-,2
..Other family householder,823,4,152,323,257,34,51,3,-,-
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,"1,027",-,70,242,344,66,283,22,-,-
..Living with nonrelatives,"1,132",9,70,272,454,114,199,15,-,-
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"1,115",19,96,404,331,74,188,3,-,-
..Other,"10,191",112,"2,089","2,770","4,268",369,573,6,2,2
.NONR
