06",25.0,"2.0 to 2.9","28.5","+/-0.2",,,,,,,,,,
"S2506",26.0,"3.0 to 3.9","15.4","+/-0.2",,,,,,,,,,
"S2506",27.0,"4.0 or more","22.3","+/-0.2",,,,,,,,,,
"S2506",28.0,"Not computed","0.3","+/-0.1",,,,,,,,,,
"S2506",28.3,,,,,,,,,,,,,
"S2506",28.5,"MONTHLY HOUSING COSTS",,,,,,,,,,,,
"S2506",29.0,"Less than $200","0.0","+/-0.1",,,,,,,,,,
"S2506",30.0,"$200 to $299","0.2","+/-0.1",,,,,,,,,,
"S2506",31.0,"$300 to $399","0.6","+/-0.1",,,,,,,,,,
"S2506",32.0,"$400 to $499","1.2","+/-0.1",,,,,,,,,,
"S2506",33.0,"$50
