10
236662,PE95-02,,200211
236664,PE95-03,,200212
200528,CD84_3B,,200213
200532,CD84_4B,,200214
200540,CD84_5B,,200215
210328,CD94_6B,,200216
210330,CD94_7B,,200217
210332,CD94_8B,,200218
210334,CD94_9B,,200219
210338,CD94_11B,,200220
210340,CD94_12B,,200221
210342,CD94_13B,,200222
210344,CD94_14B,,200223
210346,CD94_15B,,200224
210348,CD94_16B,,200225
210350,CD94_17B,,200226
200486,CD84_1K,,200227
200504,CD84_2K,,200228
200542,CD84_3K,,200229
210352,CD94_4K,,200230
210354,CD94_5K,,20023
