th a disability","45.1%","44.9%",
"DP02",76.3,,,,
"DP02",76.5,"RESIDENCE 1 YEAR AGO",,,
"DP02",77.0,"Population 1 year and over","1,516,175","1,518,361",
"DP02",78.0,"Same house","83.5%","83.4%",
"DP02",79.0,"Different house in the U.S.","16.1%","16.1%",
"DP02",80.0,"Same county","7.9%","8.3%",
"DP02",81.0,"Different county","8.3%","7.8%",
"DP02",82.0,"Same state","4.9%","4.0%","*"
"DP02",83.0,"Different state","3.3%","3.8%",
"DP02",84.0,"Abroad","0.3%","0.5%",
"DP02",84.3,,,,
"DP02",84.5,"PLACE OF BIRTH",,
