,1.1,,,,,
Connecticut,17,"47,995",96.4,0.0,0.0,0.6,2.9,,,,,
Delaware,1,"8,543",93.7,0.0,0.0,0.0,6.3,,,,,
District of Columbia,1,"378,936",37.6,62.2,0.0,0.0,0.1,,,,,
Florida,28,"202,853",85.9,6.8,0.0,1.3,6.1,,,,,
Georgia,9,"175,963",52.9,46.8,0.0,0.0,0.3,,,,,
Hawaii,2,"71,519",98.4,0.0,0.0,0.0,1.6,,,,,
Idaho,3,"1,683",92.3,0.0,0.0,0.0,7.7,,,,,
Illinois,13,"616,940",58.1,29.5,0.0,11.7,0.8,
Indiana,18,"29,970",83.4,0.0,0.0,12.6,4.0,
Iowa,9,"13,346",94.2,0.0,0.0,0.0,5.8,
Kansas,4,"4,810",89.1,0.0,0.0
