*"
"DP02",34.0,"Widowed","9.9%","10.4%",
"DP02",35.0,"Divorced","11.3%","11.8%",
"DP02",35.3,,,,
"DP02",35.5,"FERTILITY",,,
"DP02",36.0,"Number of women 15 to 50 years old who had a birth in the past 12 months","21,575","22,434",
"DP02",37.0,"Unmarried women (widowed, divorced, and never married)","34.8%","31.1%",
"DP02",38.0,"Per 1,000 unmarried women","46","44",
"DP02",39.0,"Per 1,000 women 15 to 50 years old","61","65",
"DP02",40.0,"Per 1,000 women 15 to 19 years old","42","34",
"DP02",41.0,"Per 1,000 wo
