on","1,534,656","1,537,907",
"DP05",59.0,"White","84.5%","84.1%",
"DP05",60.0,"Black or African American","0.6%","0.8%",
"DP05",61.0,"American Indian and Alaska Native","12.3%","12.6%",
"DP05",62.0,"Asian","0.7%","0.7%",
"DP05",63.0,"Native Hawaiian and Other Pacific Islander","0.1%","0.2%",
"DP05",64.0,"Some other race","4.1%","3.6%",
"DP05",64.3,,,,
"DP05",64.5,"HISPANIC OR LATINO AND RACE",,,
"DP05",65.0,"Total population","1,534,656","1,537,907",
"DP05",66.0,"Hispanic or Latino (of any race)","11.4%","1
