200364
241038,T13_PL3,,200365
241040,T14_PL3,,200366
241042,T15_PL3,,200367
241044,T16_PL3,,200368
241046,T17_PL3,,200369
241048,T20_PL3,,200370
241050,T21_PL3,,200371
241052,T22_PL3,,200372
241054,T23_PL3,,200373
241056,T24_PL3,,200374
241058,T25_PL3,,200375
241060,T28_PL3,,200376
241062,T30_PL3,,200377
241064,T31_PL3,,200378
241066,T34_PL3,,200379
241068,T36_PL3,,200380
241070,T37_PL3,,200381
241072,T40_PL3,,200382
241074,T43_PL3,,200383
241076,T44_PL3,,200384
241078,T47_PL3,,200385
