"DP02",72.0,"With a disability","1,680","+/-599","10.0","+/-3.5"
"DP02",72.3,,,,,
"DP02",73.0,"Population 16 to 64 years","62,509","+/-4,565","100","(X)"
"DP02",74.0,"With a disability","8,061","+/-1,497","12.9","+/-2.1"
"DP02",74.3,,,,,
"DP02",75.0,"Population 65 years and over","8,561","+/-1,231","100","(X)"
"DP02",76.0,"With a disability","2,856","+/-658","33.4","+/-6.5"
"DP02",76.3,,,,,
"DP02",76.5,"RESIDENCE 1 YEAR AGO",,,,
"DP02",77.0,"Population 1 year and over","98,582","+/-6,549","100","(X)"
"DP02"
