L,1480411,1481043,lipoprotein, putative
SMT1468,NULL,1481184,1481582,Uncharacterised P-loop hydrolase UPF0079
SMT1469,NULL,1481572,1482090,acetyltransferase, GNAT family
SMT1470,NULL,1482098,1483153,protein of unknown function
SMT1471,NULL,1483231,1483485,competence induced protein
SMT1472,NULL,1483635,1484486,competence induced protein
SMT1473,NULL,1484541,1485230,recA protein
SMT1474,NULL,1485867,1485463,conserved hypothetical protein
SMT1475,NULL,1485909,1486025,hypothetical protein
SMT1476,NULL,1486067,
