2,186","7,851",4%,16%,,
Utah,"2,851",233,254,8%,9%,,,,,,,,,
Vermont,"2,712",500,467,18%,17%,,,,,,,,,
Virginia,"13,417","1,208","2,234",9%,17%,,,,,,,,,
Washington,"7,651",400,"1,661",5%,22%,,,,,,,,,
West Virginia,"7,001","1,058","1,515",15%,22%,,,,,,,,,
Wisconsin,"13,798","1,302",789,9%,6%,,,,,,,,,
Wyoming,"3,030",389,231,13%,8%,,,,,,,,,
"United States, total","597,620","72,283","78,970",12%,13%,,,,,,,,,
U.S. total (incl. Puerto Rico),"599,766","72,524","79,792",12%,13%,,,,,,,,,
,,,,,,,,,,,,,,
"NO
