6",25.0,"2.0 to 2.9","9.7","+/-2.2",,,,,,,,,,
"S2506",26.0,"3.0 to 3.9","12.3","+/-2.5",,,,,,,,,,
"S2506",27.0,"4.0 or more","70.1","+/-3.5",,,,,,,,,,
"S2506",28.0,"Not computed","0.0","+/-0.5",,,,,,,,,,
"S2506",28.3,,,,,,,,,,,,,
"S2506",28.5,"MONTHLY HOUSING COSTS",,,,,,,,,,,,
"S2506",29.0,"Less than $200","0.0","+/-0.5",,,,,,,,,,
"S2506",30.0,"$200 to $299","0.0","+/-0.5",,,,,,,,,,
"S2506",31.0,"$300 to $399","0.3","+/-0.3",,,,,,,,,,
"S2506",32.0,"$400 to $499","0.5","+/-0.7",,,,,,,,,,
"S2506",33.0,"$500 
