1","+/-0.4","11.5","+/-1.0"
"S0201","196","3.1","+/-0.2","3.6","+/-0.7"
"S0201","197","11.6","+/-0.4","10.8","+/-1.2"
"S0201","198","3.9","+/-0.2","3.5","+/-0.5"
"S0201","199","2.7","+/-0.2","3.3","+/-0.6"
"S0201","200","9.6","+/-0.4","11.1","+/-1.1"
"S0201","201","10.7","+/-0.4","11.6","+/-1.0"
"S0201","202","22.7","+/-0.5","24.0","+/-1.5"
"S0201","203","7.7","+/-0.3","6.6","+/-0.9"
"S0201","204","4.6","+/-0.3","3.9","+/-0.6"
"S0201","205","4.0","+/-0.2","3.8","+/-0.7"
,"205",,,,
,"206",,,,
"S0201","206","
