ional,"3,030","2,594",232,96,43,15,28,22
.Service,"1,888","1,595",178,49,24,13,15,14
.Sales,"2,041","1,796",129,72,15,6,11,12
.Office and Administrative support,"1,008",877,69,37,11,3,11,-
".Farming, fishing, and forestry",137,127,8,-,2,-,-,-
.Construction and extraction ,2188,1864,202,60,20,8,25,8
".Installation, maintenance, and repair","1,296","1,125",113,40,6,7,6,-
.Production,"1,825","1,596",166,29,20,1,6,7
.Transportation and material moving,"1,762","1,514",146,52,17,16,11,7
45 to 64 years,,,,,,,,
.Em
