$12,499","N","N","N","N"
"B20005F",58.000,"$12,500 to $14,999","N","N","N","N"
"B20005F",59.000,"$15,000 to $17,499","N","N","N","N"
"B20005F",60.000,"$17,500 to $19,999","N","N","N","N"
"B20005F",61.000,"$20,000 to $22,499","N","N","N","N"
"B20005F",62.000,"$22,500 to $24,999","N","N","N","N"
"B20005F",63.000,"$25,000 to $29,999","N","N","N","N"
"B20005F",64.000,"$30,000 to $34,999","N","N","N","N"
"B20005F",65.000,"$35,000 to $39,999","N","N","N","N"
"B20005F",66.000,"$40,000 to $44,999","N","N","N","N"
"
