sitive channel protein
SMT1987,NULL,1930499,1929849,lysyl-tRNA synthetase
SMT1988,NULL,1931973,1932581,alpha-glycerophosphate oxidase
SMT1989,NULL,1932611,1932787,tryptophan synthase, beta subunit
SMT1990,NULL,1932795,1932899,sensor histidine kinase
SMT1991,NULL,1933142,1933366,conserved hypothetical protein
SMT1992,NULL,1933512,1933111,integrase/recombinase
SMT1993,NULL,1936875,1935952,exonuclease RexA
SMT1994,NULL,1936900,1937016,hypothetical protein
SMT1995,NULL,1937252,1937160,hypothetical protein
SMT19
