cal protein
SMT0812,NULL,800088,799582,dihydrofolate reductase
SMT0813,NULL,800738,800220,Ferritin-like domain subfamily
SMT0814,NULL,802581,800971,lysozyme
SMT0815,NULL,803373,802615,triosephosphate isomerase
SMT0816,NULL,804148,803471,DnaD-like domain protein
SMT0817,NULL,805101,804157,homoserine O-succinyltransferase
SMT0818,NULL,805879,805283,adenine phosphoribosyltransferase
SMT0819,NULL,813240,805999,CshA protein
SMT0820,NULL,813695,814507,IS1167, transposase
SMT0821,NULL,814462,815031,IS1167, transpo
