8"
,"205",,,,
,"206",,,,
"S0201","206","73.0","+/-0.5","70.7","+/-1.4"
"S0201","207","21.8","+/-0.4","22.2","+/-1.2"
"S0201","208","5.1","+/-0.2","6.8","+/-0.8"
"S0201","209","0.1","+/-0.1","0.2","+/-0.1"
,"209",,,,
,"210",,,,
"S0201","210","2,089,031","+/-6,574","224,582","+/-6,449"
"S0201","211","65,144","+/-659","74,408","+/-2,331"
,"211",,,,
"S0201","212","84.1","+/-0.3","79.0","+/-1.0"
"S0201","213","83,247","+/-835","97,470","+/-3,535"
"S0201","214","23.8","+/-0.3","32.3","+/-1.3"
"S0201","215","13,87
