Asian Indian","12.4%","8.3%",
"DP05",41.0,"Chinese","25.4%","27.6%",
"DP05",42.0,"Filipino","15.8%","20.6%",
"DP05",43.0,"Japanese","13.8%","14.0%",
"DP05",44.0,"Korean","17.3%","10.9%",
"DP05",45.0,"Vietnamese","2.9%","9.6%",
"DP05",46.0,"Other Asian","12.4%","9.0%",
"DP05",47.0,"Native Hawaiian and Other Pacific Islander","0.0%","0.1%",
"DP05",48.0,"Native Hawaiian","76.7%","45.6%",
"DP05",49.0,"Guamanian or Chamorro","17.0%","3.7%",
"DP05",50.0,"Samoan","0.0%","20.7%",
"DP05",51.0,"Other Pacific Islander
