201","135","45.8","+/-1.9","N","N"
,"136",,,,
"S0201","136","31.9","+/-2.5","N","N"
"S0201","137","33.2","+/-2.6","N","N"
"S0201","138","34.9","+/-2.4","N","N"
,"138",,,,
,"139",,,,
"S0201","139","175,987","+/-6,449","N","N"
"S0201","140","9.0","+/-1.2","N","N"
"S0201","141","25.1","+/-1.6","N","N"
"S0201","142","5.1","+/-1.3","N","N"
"S0201","143","0.5","+/-0.2","N","N"
"S0201","144","57.9","+/-2.0","N","N"
"S0201","145","2.4","+/-0.6","N","N"
,"145",,,,
,"146",,,,
"S0201","146","3,327,159","+/-1,941","220
