,,,,
3 to 5 years ,- ,- ,"2,337","2,337",,,,,,,,,,,,,
6 to 13 years ,- ,- ,436,436,,,,,,,,,,,,,
14 to 17 years ,38,- ,481,338,,,,,,,,,,,,,
18 to 24 years ,"16,024","1,785","15,006","3,214",,,,,,,,,,,,,
25 years and over ,"5,387","5,820","164,198","35,738",,,,,,,,,,,,,
..Foreign born ,"2,356","1,976","29,214","10,329",,,,,,,,,,,,,
3 to 5 years ,- ,- ,105,105,,,,,,,,,,,,,
6 to 13 years ,- ,- ,71,71,,,,,,,,,,,,,
14 to 17 years ,14,- ,160,160,,,,,,,,,,,,,
18 to 24 years ,"1,297",443,"2,625","1,216",,,
