
,,15 ppm sulfur and under,-,9,3,0,-,-2,-,0,14
,,Greater than 15 ppm to 500 ppm sulfur,-,395,11,9,-,-8,-,6,418
,,Greater than 500 ppm sulfur,-,95,8,0,-,3,-,10,90
,Residual Fuel Oile,,-,171,34,0,-,-1,-,57,149
,,Less than 0.31 percent sulfur,-,6,6,0,-,0,-,-,-
,,0.31 to 1.00 percent sulfur,-,43,3,0,-,3,-,-,-
,,Greater than 1.00 percent sulfur,-,122,25,0,-,-3,-,-,-
,Petrochemical Feedstocks,,-,11,0,0,-,0,-,-,11
,,Naphtha for Petro. Feed. Use,-,0,0,0,-,0,-,-,0
,,Other Oils for Petro. Feed. Use,-,11,0,0
