more years","20.5%","23.7%",
"DP02",48.3,,,,
"DP02",48.5,"Characteristics of grandparents responsible for own grandchildren under 18 years",,,
"DP02",49.0,"Who are female","59.6","61.8",
"DP02",50.0,"Who are married","74.1","71.5",
"DP02",50.3,,,,
"DP02",50.5,"SCHOOL ENROLLMENT",,,
"DP02",51.0,"Population 3 years and over enrolled in school","372,509","363,903",
"DP02",52.0,"Nursery school, preschool","6.0%","6.1%",
"DP02",53.0,"Kindergarten","5.2%","4.8%",
"DP02",54.0,"Elementary school (grades 1-8)","44.1
