","+/-5,660","100","(X)"
"DP02",68.0,"Civilian veterans","N","N","100","(X)"
"DP02",68.3,,,,,
"DP02",68.5,"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION",,,,
"DP02",69.0,"Population 5 years and over","133,441","+/-8,068","100","(X)"
"DP02",70.0,"With a disability","11,970","+/-2,250","9.0","+/-1.5"
"DP02",70.3,,,,,
"DP02",71.0,"Population 5 to 15 years","28,030","+/-3,422","100","(X)"
"DP02",72.0,"With a disability","1,150","+/-655","4.1","+/-2.1"
"DP02",72.3,,,,,
"DP02",73.0,"Population
