.8",
"DP05",15.0,"75 to 84 years","8.7%","1.0","8.7%","0.9",
"DP05",16.0,"85 years and over","4.5%","0.9","3.6%","0.5",
"DP05",16.3,,,,,,
"DP05",17.0,"Median age (years)","45.1","**","43.4","**",
"DP05",17.3,,,,,,
"DP05",18.0,"18 years and over","84.1%","1.4","79.6%","2.2","*"
"DP05",19.0,"21 years and over","82.2%","1.3","77.0%","2.1","*"
"DP05",20.0,"62 years and over","26.7%","1.8","24.6%","1.5",
"DP05",21.0,"65 years and over","23.2%","1.5","21.1%","1.3",
"DP05",21.3,,,,,,
"DP05",22.0,"18 years and over
