6%","0.9%","*"
"DP02",140.0,"Scotch-Irish","2.5%","2.5%",
"DP02",141.0,"Scottish","3.1%","3.7%","*"
"DP02",142.0,"Slovak","0.1%","0.1%",
"DP02",143.0,"Subsaharan African","0.0%","0.1%",
"DP02",144.0,"Swedish","3.2%","3.1%",
"DP02",145.0,"Swiss","0.6%","0.6%",
"DP02",146.0,"Ukrainian","0.1%","0.2%",
"DP02",147.0,"Welsh","1.3%","1.2%",
"DP02",148.0,"West Indian (excluding Hispanic origin groups)","0.0%","0.0%",
"DP03",0.0,,,,
"DP03",0.5,,,,
"DP03",0.8,,,,
"DP03",1.0,"Population 16 years and over","1,204,309",
