,553","*"
"DP02",95.3,,,,,,
"DP02",96.0,"Native","6,203","944","7,129","846",
"DP02",97.0,"Entered 2000 or later","17.1%","5.8","13.1%","4.8",
"DP02",98.0,"Entered before 2000","82.9%","5.8","86.9%","4.8",
"DP02",98.3,,,,,,
"DP02",99.0,"Foreign born","141,005","5,776","115,845","4,400","*"
"DP02",100.0,"Entered 2000 or later","44.5%","2.1","42.5%","3.1",
"DP02",101.0,"Entered before 2000","55.5%","2.1","57.5%","3.1",
"DP02",101.3,,,,,,
"DP02",101.5,"WORLD REGION OF BIRTH OF FOREIGN BORN",,,,,
"DP02",102.0,"
