te's degree","7.4%","7.7%",
"DP02",63.0,"Bachelor's degree","13.8%","13.6%",
"DP02",64.0,"Graduate or professional degree","6.3%","6.4%",
"DP02",64.3,,,,
"DP02",65.0,"Percent high school graduate or higher","85.5","85.5",
"DP02",66.0,"Percent bachelor's degree or higher","20.1","20.1",
"DP02",66.3,,,,
"DP02",66.5,"VETERAN STATUS",,,
"DP02",67.0,"Civilian population 18 years and over","1,152,716","1,161,074",
"DP02",68.0,"Civilian veterans","149,051","144,683",
"DP02",68.3,,,,
"DP02",68.5,"DISABILITY STATUS 
