00,069","+/-4,381"
"S0201","31","41.7","+/-0.1","42.8","+/-1.8"
"S0201","32","58.3","+/-0.1","57.2","+/-1.8"
,"32",,,,
,"33",,,,
"S0201","33","5,474,226","*****","530,637","+/-14,339"
"S0201","34","56.8","+/-0.3","65.5","+/-0.9"
"S0201","35","30.5","+/-0.3","27.0","+/-1.0"
"S0201","36","7.2","+/-0.2","4.0","+/-0.5"
"S0201","37","5.5","+/-0.2","3.4","+/-0.5"
"S0201","38","2.1","+/-0.1","1.6","+/-0.2"
,"38",,,,
,"39",,,,
"S0201","39","2,089,031","+/-6,574","224,582","+/-6,449"
"S0201","40","67.3","+/-0.6","65
