rican alone,980,885,797,793,793
...American Indian and Alaska Native alone,975,979,990,980,980
...Asian alone,257,245,236,225,225
...Native Hawaiian and Other Pacific Islander alone,137,128,123,123,123
..Two or more races,696,672,652,679,679
..Race alone or in combination with one or more races:,,,,,
...White,"44,840","42,759","41,049","40,777","40,777"
...Black or African American,"1,231","1,123","1,019","1,016","1,016"
...American Indian and Alaska Native,"1,399","1,395","1,408","1,409","1,409"
...Asian,3
