241080,T48_PL3,,200386
241082,S13_PL3,,200387
241084,S16_PL3,,200388
241086,S17_PL3,,200389
241088,S18_PL3,,200390
205848,DOX07_NX3,,200391
205868,DOX12_NX3,,200392
240934,BOX07_NX1,,200393
240940,COX07_NX2,,200394
241036,T12_PL3,,200395
241038,T13_PL3,,200396
241048,T20_PL3,,200397
241050,T21_PL3,,200398
241052,T22_PL3,,200399
241086,S17_PL3,,200400
240970,S19_PL3,,200401
240978,S42_PL3,,200402
241082,S13_PL3,,200403
241090,T44_PL4,,200404
241092,T22_PL4,,200405
241094,T01_PL4,,200406
