",
"DP04",132.0,"Median (dollars)","560","580",
"DP04",132.3,,,,
"DP04",132.5,"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME",,,
"DP04",133.0,"Renter-occupied units","161,113","156,805",
"DP04",134.0,"Less than 15.0 percent","18.7%","18.4%",
"DP04",135.0,"15.0 to 19.9 percent","11.7%","12.2%",
"DP04",136.0,"20.0 to 24.9 percent","10.9%","11.0%",
"DP04",137.0,"25.0 to 29.9 percent","9.1%","7.9%",
"DP04",138.0,"30.0 to 34.9 percent","4.9%","7.9%","*"
"DP04",139.0,"35.0 percent or more","25.5%","24.8%",
"DP04
