ada,,126,124,116,,1,,1.1,,1.1
,New Mexico,,36,25,25,,0.5,,0.4,,0.4
,Oregon,,/,/,/,,/,,/,,/
,Utah,,44,38,39,,0.9,,0.8,,0.8
,Washington,,84,107,102,,0.5,,0.6,,0.6
,Wyoming,,7,7,7,,0.6,,0.6,,0.6
/Not reported.,,,,,,,,,,,
a/Counts published in previous reports may have been revised.  ,,,,,,,,,,,
"b/Percentages are based on custody counts, except for New Mexico for which percentages are based on its yearend jurisdiction count.",,,,,,,,,,,
c/Percents exclude inmates in jurisdictions that did not report d
