722","7,341","618,845","4,240",
"DP02",70.0,"With a disability","12.0%","0.5","12.8%","0.5",
"DP02",70.3,,,,,,
"DP02",71.0,"Population 5 to 15 years","99,991","2,937","100,515","1,717",
"DP02",72.0,"With a disability","3.2%","0.7","6.1%","0.9","*"
"DP02",72.3,,,,,,
"DP02",73.0,"Population 16 to 64 years","474,472","5,222","465,967","3,414",
"DP02",74.0,"With a disability","11.2%","0.6","11.2%","0.5",
"DP02",74.3,,,,,,
"DP02",75.0,"Population 65 years and over","48,259","1,281","52,363","704","*"
"DP02",76.0
