OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION",,,
"DP02",69.0,"Population 5 years and over","1,407,290","1,407,186",
"DP02",70.0,"With a disability","17.7%","18.3%",
"DP02",70.3,,,,
"DP02",71.0,"Population 5 to 15 years","229,761","226,610",
"DP02",72.0,"With a disability","5.9%","6.9%",
"DP02",72.3,,,,
"DP02",73.0,"Population 16 to 64 years","959,034","962,982",
"DP02",74.0,"With a disability","14.3%","15.0%",
"DP02",74.3,,,,
"DP02",75.0,"Population 65 years and over","218,495","217,594",
"DP02",76.0,"Wi
