ion ,1034,696,207,47,40,11,28,5
".Installation, maintenance, and repair",540,400,92,24,13,5,3,4
.Production,808,650,82,30,24,8,12,2
.Transportation and material moving,1092,793,177,65,35,-,14,8
25 to 34 years,,,,,,,,
.Employed civilians,"16,425","12,540","2,313",747,362,107,238,119
".Management, business, and financial","2,026","1,592",231,87,45,19,36,16
.Professional,"3,027","2,235",462,161,64,22,59,24
.Service,"2,212","1,673",321,104,38,13,37,26
.Sales,"1,687","1,287",260,81,35,5,14,5
.Office and Administ
