RGs,,,80,67,3,0,-,-7,71,15,71
,Pentanes Plus,,38,-,0,0,-,1,29,0,7
,Liquefied Petroleum Gases,,43,67,3,0,-,-8,42,15,64
,,Ethane/Ethylene,0,0,0,0,-,0,0,0,0
,,Propane/Propylene,13,57,3,0,-,-7,0,15,66
,,Normal Butane/Butylene,12,19,0,0,-,0,28,0,4
,,Isobutane/Isobutylene,17,-9,0,0,-,0,14,0,-6
Other Liquids,,,-,-,85,59,86,-5,221,4,11
,Other Hydrocarbons/Oxygenates,,-,-,1,0,109,1,105,4,0
,Unfinished Oils,,-,-,36,0,-,14,12,0,11
,Motor Gasoline Blend. Comp. (MGBC),,-,-,48,59,-22,-20,105,0,0
,,Reformulated
