0621,NULL,580389,580736,conserved hypothetical protein
SMT0622,NULL,580711,580959,conserved hypothetical protein
SMT0623,NULL,580934,581026,conserved hypothetical protein
SMT0624,NULL,581042,581683,conserved hypothetical protein
SMT0625,NULL,581701,582390,glutamine amidotransferase, class I
SMT0626,NULL,583067,582387,DNA repair protein
SMT0627,NULL,585326,583110,ATP-dependent DNA helicase PcrA
SMT0628,NULL,587390,585393,DNA topoisomerase I
SMT0629,NULL,588385,587537,DNA processing chain A
SMT0630,NULL,58837
