men 20 to 34 years old","133","136",
"DP02",42.0,"Per 1,000 women 35 to 50 years old","14","21",
"DP02",42.3,,,,
"DP02",42.5,"GRANDPARENTS",,,
"DP02",43.0,"Number of grandparents living with own grandchildren under 18 years","28,952","27,669",
"DP02",44.0,"Responsible for grandchildren","58.8%","59.1%",
"DP02",44.9,"Years responsible for grandchildren",,,
"DP02",45.0,"Less than 1 year","14.6%","12.6%",
"DP02",46.0,"1 or 2 years","13.1%","12.8%",
"DP02",47.0,"3 or 4 years","10.6%","10.0%",
"DP02",48.0,"5 or 
