,,
"S2507",55.0,"30 percent or more","0.0","+/-1.5",,,,,,,,,,
"S2507",56.0,"Zero or negative income","1.6","+/-1.4",,,,,,,,,,
"S2507",56.3,,,,,,,,,,,,,
"S2507",56.5,"REAL ESTATE TAXES",,,,,,,,,,,,
"S2507",57.0,"Less than $800","3.9","+/-2.2",,,,,,,,,,
"S2507",58.0,"$800 to $1,499","9.8","+/-3.9",,,,,,,,,,
"S2507",59.0,"$1,500 or more","79.3","+/-6.3",,,,,,,,,,
"S2507",60.0,"No real estate taxes paid","6.9","+/-3.9",,,,,,,,,,
"S2507",61.0,"Median (dollars)","2,535","+/-116",,,,,,,,,,
"S2507",61.3,,,,,,,,,,,,
