" "," "," "
"S0201","         136","     23.1","   +/-2.7","N","N"
"S0201","         137","     28.0","   +/-2.6","N","N"
"S0201","         138","     48.8","   +/-2.4","N","N"
" ","         138"," "," "," "," "
" ","         139"," "," "," "," "
"S0201","         139","  207,907","+/-10,149","               871","               +/-354"
"S0201","         140","      6.7","   +/-1.1","N","N"
"S0201","         141","     12.3","   +/-1.0","N","N"
"S0201","         142","      0.8","   +/-0.4","N","N"
"S0201",
