0.1","8.6","+/-0.5"
"S0201","11","6.9","+/-0.1","5.2","+/-0.5"
"S0201","12","6.3","+/-0.1","3.3","+/-0.5"
,"12",,,,
"S0201","13","36.2","+/-0.2","29.7","+/-0.7"
,"13",,,,
"S0201","14","75.0","+/-0.1","68.8","+/-0.8"
"S0201","15","70.6","+/-0.2","63.8","+/-1.0"
"S0201","16","16.1","+/-0.1","10.7","+/-0.6"
"S0201","17","13.3","+/-0.1","8.5","+/-0.5"
,"17",,,,
"S0201","18","895,186","+/-2,070","74,472","+/-3,487"
"S0201","19","51.3","+/-0.3","51.0","+/-1.8"
"S0201","20","48.7","+/-0.3","49.0","+/-1.8"
,"20",,,
