",             ""
    "",            "",            "",             ""
  "24",         13235,         -8976,         140269
  "25",         -9317,         11527,          67987
  "26",         -2708,          2756,          12460
  "27",         16982,          1650,         132900
  "28",          -952,         -1502,          14410
    "",            "",            "",             ""
  "29",          2074,          -175,          19373
    "",            "",            "",             ""
    "",
