"2,888"
...Asian,731,697,663,741,741
...Native Hawaiian and Other Pacific Islander,393,364,350,420,420
.MALE,,,,,
..Total,"56,327","53,929","51,905","51,438","51,438"
...White alone,"52,925","50,696","48,798","48,319","48,319"
...Black or African American alone,"1,137","1,042",950,939,939
...American Indian and Alaska Native alone,"1,089","1,083","1,094","1,086","1,086"
...Asian alone,249,241,232,220,220
...Native Hawaiian and Other Pacific Islander alone,213,202,194,185,185
..Two or more races,714,665,637,
